Location,MaxTemp
Albury,22.9
Albury,25.1
Albury,25.7
Albury,28.0
Albury,32.3
Albury,29.7
Albury,25.0
Albury,26.7
Albury,31.9
Albury,30.1
Albury,30.4
Albury,21.7
Albury,18.6
Albury,21.0
Albury,27.7
Albury,20.9
Albury,22.9
Albury,22.5
Albury,25.6
Albury,29.3
Albury,33.0
Albury,31.8
Albury,30.9
Albury,32.4
Albury,33.9
Albury,33.0
Albury,32.7
Albury,27.2
Albury,24.2
Albury,24.4
Albury,26.5
Albury,23.9
Albury,28.8
Albury,34.6
Albury,35.8
Albury,37.9
Albury,38.9
Albury,28.3
Albury,28.4
Albury,30.8
Albury,32.0
Albury,34.7
Albury,37.7
Albury,43.0
Albury,32.7
Albury,26.7
Albury,28.4
Albury,32.2
Albury,36.6
Albury,39.9
Albury,38.1
Albury,34.0
Albury,35.2
Albury,30.6
Albury,34.3
Albury,38.4
Albury,38.2
Albury,40.7
Albury,41.5
Albury,42.9
Albury,42.7
Albury,43.1
Albury,38.3
Albury,37.7
Albury,36.9
Albury,41.2
Albury,42.2
Albury,44.8
Albury,40.2
Albury,31.2
Albury,27.3
Albury,26.7
Albury,21.6
Albury,29.0
Albury,29.2
Albury,31.3
Albury,31.1
Albury,28.8
Albury,32.0
Albury,34.0
Albury,29.1
Albury,31.7
Albury,33.2
Albury,34.0
Albury,29.6
Albury,31.9
Albury,32.7
Albury,32.6
Albury,34.5
Albury,30.3
Albury,31.9
Albury,31.1
Albury,22.1
Albury,22.0
Albury,24.0
Albury,27.9
Albury,30.2
Albury,31.8
Albury,32.0
Albury,30.5
Albury,25.7
Albury,25.8
Albury,27.0
Albury,19.7
Albury,21.9
Albury,25.3
Albury,28.0
Albury,30.1
Albury,33.5
Albury,33.6
Albury,30.0
Albury,31.6
Albury,31.9
Albury,22.3
Albury,29.8
Albury,27.6
Albury,28.9
Albury,31.2
Albury,30.4
Albury,29.9
Albury,30.6
Albury,32.1
Albury,28.1
Albury,21.4
Albury,21.7
Albury,21.4
Albury,22.5
Albury,24.0
Albury,25.7
Albury,26.7
Albury,24.9
Albury,24.2
Albury,25.4
Albury,25.0
Albury,21.9
Albury,20.0
Albury,21.6
Albury,23.4
Albury,23.9
Albury,22.0
Albury,21.4
Albury,22.7
Albury,22.9
Albury,16.2
Albury,15.8
Albury,12.9
Albury,11.5
Albury,14.5
Albury,12.2
Albury,16.5
Albury,17.0
Albury,19.2
Albury,18.9
Albury,19.1
Albury,18.8
Albury,19.3
Albury,18.4
Albury,19.0
Albury,20.5
Albury,19.5
Albury,17.7
Albury,18.5
Albury,15.1
Albury,16.3
Albury,16.6
Albury,16.4
Albury,15.6
Albury,19.7
Albury,19.1
Albury,18.6
Albury,19.8
Albury,19.8
Albury,22.9
Albury,21.1
Albury,20.3
Albury,18.1
Albury,16.2
Albury,15.7
Albury,16.5
Albury,16.8
Albury,17.1
Albury,14.3
Albury,13.4
Albury,14.3
Albury,17.4
Albury,16.1
Albury,10.5
Albury,11.6
Albury,12.0
Albury,8.8
Albury,10.5
Albury,9.6
Albury,8.2
Albury,12.4
Albury,15.8
Albury,14.9
Albury,17.7
Albury,15.9
Albury,14.7
Albury,15.3
Albury,17.3
Albury,17.0
Albury,14.9
Albury,15.5
Albury,14.1
Albury,12.2
Albury,13.7
Albury,11.9
Albury,12.3
Albury,15.7
Albury,16.1
Albury,13.3
Albury,11.6
Albury,12.0
Albury,13.2
Albury,12.4
Albury,12.1
Albury,12.5
Albury,13.8
Albury,15.0
Albury,13.5
Albury,13.3
Albury,16.5
Albury,13.1
Albury,11.0
Albury,12.6
Albury,13.4
Albury,14.4
Albury,12.0
Albury,14.1
Albury,16.5
Albury,17.7
Albury,12.3
Albury,13.5
Albury,12.9
Albury,12.2
Albury,9.8
Albury,8.8
Albury,12.7
Albury,13.2
Albury,12.1
Albury,14.5
Albury,13.9
Albury,14.1
Albury,13.8
Albury,14.7
Albury,13.8
Albury,17.1
Albury,13.9
Albury,12.9
Albury,12.2
Albury,14.8
Albury,17.7
Albury,14.3
Albury,11.6
Albury,15.2
Albury,17.5
Albury,15.5
Albury,13.6
Albury,15.6
Albury,16.4
Albury,18.4
Albury,14.8
Albury,14.1
Albury,18.9
Albury,17.1
Albury,12.8
Albury,14.4
Albury,16.7
Albury,18.6
Albury,17.9
Albury,11.1
Albury,14.2
Albury,14.2
Albury,16.8
Albury,20.7
Albury,16.9
Albury,15.0
Albury,16.6
Albury,17.6
Albury,16.5
Albury,14.3
Albury,18.8
Albury,24.7
Albury,25.1
Albury,17.8
Albury,17.2
Albury,21.1
Albury,19.0
Albury,20.4
Albury,20.6
Albury,18.9
Albury,19.0
Albury,20.2
Albury,16.8
Albury,18.2
Albury,20.6
Albury,12.2
Albury,12.9
Albury,17.9
Albury,17.0
Albury,21.4
Albury,21.1
Albury,22.0
Albury,13.5
Albury,16.2
Albury,19.7
Albury,16.2
Albury,15.9
Albury,16.3
Albury,18.2
Albury,19.0
Albury,18.7
Albury,23.3
Albury,17.7
Albury,15.1
Albury,15.7
Albury,16.6
Albury,19.2
Albury,20.3
Albury,22.7
Albury,26.6
Albury,27.1
Albury,27.1
Albury,23.9
Albury,25.4
Albury,23.1
Albury,22.0
Albury,24.1
Albury,26.8
Albury,26.9
Albury,29.1
Albury,30.8
Albury,34.0
Albury,32.4
Albury,24.3
Albury,23.2
Albury,25.3
Albury,27.9
Albury,29.8
Albury,31.8
Albury,33.4
Albury,35.2
Albury,36.0
Albury,35.1
Albury,32.8
Albury,35.4
Albury,36.3
Albury,35.1
Albury,30.5
Albury,33.5
Albury,39.7
Albury,38.2
Albury,21.0
Albury,28.3
Albury,23.6
Albury,25.8
Albury,32.9
Albury,34.5
Albury,26.2
Albury,26.4
Albury,22.3
Albury,23.9
Albury,23.6
Albury,27.0
Albury,31.5
Albury,27.5
Albury,26.7
Albury,30.7
Albury,31.9
Albury,24.9
Albury,25.4
Albury,27.4
Albury,22.6
Albury,26.5
Albury,29.6
Albury,32.0
Albury,34.7
Albury,38.6
Albury,40.3
Albury,26.4
Albury,29.2
Albury,31.3
Albury,33.7
Albury,36.6
Albury,38.2
Albury,34.6
Albury,28.3
Albury,31.3
Albury,27.3
Albury,35.9
Albury,35.9
Albury,36.8
Albury,33.2
Albury,31.9
Albury,29.1
Albury,29.7
Albury,32.8
Albury,35.8
Albury,33.8
Albury,33.0
Albury,36.4
Albury,39.8
Albury,42.2
Albury,42.2
Albury,42.4
Albury,28.4
Albury,31.7
Albury,36.3
Albury,36.6
Albury,25.6
Albury,22.6
Albury,25.2
Albury,32.9
Albury,37.3
Albury,41.8
Albury,35.4
Albury,33.7
Albury,35.8
Albury,35.9
Albury,36.4
